Wavelengths,HRCG
556,0.8324856640271947
557,0.8203752214796685
558,0.8082647789321424
559,0.7961320885690281
560,0.7834448813939109
561,0.7707576768832028
562,0.7580704697080856
563,0.7453832651973775
564,0.7326960606866695
565,0.7200088535115522
566,0.7073216490008442
567,0.6946344418257271
568,0.6819472373150188
569,0.6692600301399018
570,0.6565728256291936
571,0.6439377236375069
572,0.6313786878598594
573,0.6188196520822119
574,0.6062606163045645
575,0.593701580526917
576,0.5820403973117754
577,0.5716121827077156
578,0.5611839681036559
579,0.550755753499596
580,0.5403275388955363
581,0.5298993269558856
582,0.5194711123518257
583,0.5077400443516465
584,0.49562960180412036
585,0.4835191592565942
586,0.4725552732057599
587,0.46298686340293643
588,0.45341845626452204
589,0.4438500464616986
590,0.4342816366588752
591,0.4247132268560517
592,0.41514481971763734
593,0.4055764099148139
594,0.3941887762482726
595,0.38275122487813296
596,0.37131367617240246
597,0.35987612480226283
598,0.34843857343212326
599,0.3370010220619837
600,0.326485950387222
601,0.3178745430278695
602,0.3092631330041079
603,0.30065172564475545
604,0.2920403182854029
605,0.2834289082616413
606,0.2748175009022888
607,0.2662060935429363
608,0.25752439907277924
609,0.2449653632951318
610,0.23240632751748433
611,0.22455952562392292
612,0.22097237043515658
613,0.2173852152463902
614,0.2137980600576238
615,0.21021090486885743
616,0.20662374968009106
617,0.20303659449132466
618,0.19944943930255832
619,0.195862286778201
620,0.19227513158943463
621,0.19008194459315547
622,0.18900691682188672
623,0.18793188905061795
624,0.1868568586149401
625,0.1857818308436713
626,0.18470680307240253
627,0.18363177530113375
628,0.18255674752986498
629,0.18148171709418717
630,0.1804066893229184
631,0.17933166155164962
632,0.17825663378038084
633,0.177181603344703
634,0.17610657557343426
635,0.17503154780216548
636,0.1739565200308967
637,0.17288149225962793
638,0.1718064618239501
639,0.1707314340526813
640,0.1696564062814124
641,0.16858137851014354
642,0.1675063507388742
643,0.16643132030319505
644,0.16535629253192272
645,0.16428126476064425
646,0.16320623698934936
647,0.16213120655360092
648,0.1610561787821415
649,0.1599811510103581
650,0.15839496435421516
651,0.15624331016254753
652,0.15409165596466418
653,0.15194000175012465
654,0.14978834749096087
655,0.14763669311226785
656,0.14548504107788668
657,0.14333338552207614
658,0.14118172767223608
659,0.13903006368333015
660,0.13687838326971857
661,0.13472665892407848
662,0.1325748171024378
663,0.1304226612327002
664,0.12826966606767434
