Wavelengths,HRCG
469,0.2819810870766621
470,0.29028008578706577
471,0.29860433565784644
472,0.30695385165851513
473,0.31531868230405546
474,0.3235422198829249
475,0.3317823831490309
476,0.34095924385122345
477,0.35035222502340924
478,0.35976355369891483
479,0.3691932391437637
480,0.3786412890280412
481,0.3881077126592879
482,0.39759251767851544
483,0.4070957101353884
484,0.41661730468465935
485,0.4261573060154246
486,0.4381085585744276
487,0.45111545363322075
488,0.46414764429416694
489,0.47720513786118435
490,0.49028795371209655
491,0.5033284782451161
492,0.5163214525254043
493,0.5293329373400733
494,0.5423629393067408
495,0.5553275037223235
496,0.5696261128393157
497,0.5850113755117246
498,0.6004054925325212
499,0.6158084575154659
500,0.6310939912505363
501,0.6464162296830375
502,0.6617368937025306
503,0.6770559708918618
504,0.6923734644381393
505,0.7083135508499332
506,0.7270814899092172
507,0.7458474797647653
508,0.7646115227157358
509,0.7833736077085982
510,0.8062741974879489
511,0.8299022963692922
512,0.8534275590905818
513,0.8653516233835913
514,0.8766742664203977
515,0.8879768417171893
516,0.899259349273966
517,0.9105217890907279
518,0.9213892380136854
519,0.9303909548225932
520,0.9393763234722816
521,0.9483453372996306
522,0.957298002962183
523,0.9643205990619336
524,0.9709420929611002
525,0.9775511002668514
526,0.9834006634113458
527,0.986543909263476
528,0.9896804702976941
529,0.9928103409743869
530,0.9959335224044085
531,0.998787345811579
532,1.0
533,0.9995665697938373
534,0.999130009988108
535,0.9986903205828115
536,0.9954829325996322
537,0.991671755553288
538,0.9878675364381134
539,0.9840702687204602
540,0.9802799589241916
541,0.9764966005352288
542,0.971329468492639
543,0.962969661691625
544,0.9539208744334148
545,0.9449046855333919
546,0.9359210939452538
547,0.9269700985685866
548,0.9180516983339766
549,0.9089012012947845
550,0.897739951922365
551,0.8866252732653183
552,0.8755571449340439
553,0.8645355518868245
554,0.8531640413316719
555,0.8414292436515878
556,0.8297578533609976
557,0.8179697762606482
558,0.8050720434651867
559,0.7922474984029533
560,0.7794961162784
561,0.7668178599260432
562,0.7542127014465366
563,0.7416806128953313
564,0.7268876896682112
565,0.7107255978189737
566,0.6946866407138015
567,0.6787707654363361
568,0.6629779190702189
569,0.6473080516605614
570,0.6326554066168675
571,0.6182820839763482
572,0.6033914692763843
573,0.5879451406376993
574,0.57051426349114
575,0.5532554193239757
576,0.5361685327313241
577,0.5192535304262547
578,0.5017453786463949
579,0.48056673484990964
580,0.4596294559418462
581,0.438995722327001
582,0.4224726956095946
583,0.4089211889755937
584,0.3951854624043141
585,0.38162327444067223
586,0.36187204471185247
587,0.3419987056662892
588,0.32254822894354657
589,0.30600090730716
590,0.28963494732702333
591,0.2764455278540329
592,0.26385410592210984
593,0.251450431660432
594,0.23495720930608738
595,0.2186816853182351
596,0.20267651555575608
597,0.18898843198890372
598,0.1789300062746877
599,0.16903454580830563
600,0.15930868659061945
601,0.14960748557469744
602,0.13646668485438262
603,0.12358570442356086
604,0.11093662801573588
605,0.10080042736607636
606,0.09394529262835195
607,0.0872109458492406
608,0.08059740107120739
609,0.07431164755419825
610,0.07036526664433437
611,0.06648710074306546
612,0.06267715932734978
613,0.05893545150523068
614,0.055261986407082436
615,0.05165677347636679
616,0.04811982174654198
617,0.044651140638733655
618,0.04125073928890016
619,0.03792059320079711
620,0.03465958093324165
621,0.031466398503841427
622,0.02947828688565879
623,0.02781914989966672
624,0.026192439404282918
625,0.024598159835342748
626,0.02303631546964108
627,0.021506910745684088
628,0.020009948361828005
629,0.01854543613649681
630,0.01711337665993941
631,0.015713774359977343
632,0.014346633620322818
633,0.01299402571530058
634,0.01167489257520869
635,0.010391754912680561
636,0.009460182436269995
637,0.009163538888841414
638,0.008871590084001941
639,0.008584335258974212
640,0.008305139725211044
641,0.008039986389949476
642,0.007779120134713986
643,0.007522544305438312
644,0.007270258066583977
645,0.007022260758347058
646,0.006778555505203831
647,0.006539141623090454
648,0.006318864704468038
649,0.006389998326527755
650,0.006457627322221129
651,0.006525695323311704
652,0.006586924203042572
653,0.006641326956022778
654,0.006689041004282118
655,0.006730066369576005
656,0.006764403076038906
657,0.006792051075996649
658,0.006813010392988943
659,0.006827280047375588
660,0.006834862045862687
661,0.006835755335465584
662,0.006829959942103028
663,0.006902069131142156
664,0.007033668922089654
665,0.00716147011363734
666,0.007277570776702005
667,0.007381970974529122
668,0.007474670641494168
669,0.007555669845600716
670,0.00762496851646614
671,0.007682565978213015
672,0.00772846367126965
673,0.007788360279343533
674,0.007870390053875895
675,0.00794407001905017
676,0.008009400259523295
677,0.008075736963499735
678,0.00819339246479212
679,0.008299915588971281
680,0.008395305000675386
681,0.008479561447695108
682,0.008551153150996835
683,0.008607580862086702
684,0.008652556618231355
685,0.008686080419430793
686,0.008708152808810867
687,0.008718772747908313
688,0.008733856317465368
689,0.008774769759740326
690,0.00880136774877475
691,0.008813651276833211
692,0.008810605435018014
693,0.0088393577533002
694,0.008889230563435952
695,0.00892907748946034
696,0.008958905477532548
697,0.00897872019547985
698,0.0089885290029528
699,0.008988337605660937
700,0.00897815332538887
701,0.009382136537996192
702,0.009669567289770671
703,0.009883496689537434
704,0.010093871626158475
705,0.010300695230010308
706,0.01050396909001787
707,0.010703696034348991
708,0.010899821206075194
709,0.011092257642671894
710,0.011281146984624358
711,0.011466491039799853
712,0.011648293117592176
713,0.011826554697137882
714,0.012001278712449258
715,0.012172467972750739
716,0.012340124331919234
717,0.012504250704141073
718,0.012664848950802898
719,0.01282192201398342
720,0.012975472422123052
721,0.01312550205949211
722,0.01327201421085066
723,0.013415010354085165
724,0.013554493761307712
725,0.013690466354980899
726,0.01382293062504242
727,0.013951889498778354
728,0.014077101016527888
729,0.01419821075338966
730,0.014315807377047771
731,0.014429894276532367
732,0.014540474999570266
733,0.01464755163556834
734,0.014751128044493368
735,0.01485120683735168
736,0.01494779134740832
737,0.015040884193196671
738,0.015130488930185726
739,0.01516783368907363
740,0.015180452060662526
741,0.015226786422829219
742,0.015272215243105614
743,0.015316006903610306
744,0.01535816244527988
745,0.015398683886732097
746,0.015437572373071933
747,0.015474829255990107
748,0.015509751818178343
749,0.015541399305981666
750,0.015571408754045642
751,0.015599781766519825
752,0.01562652127165719
753,0.01565162846737111
754,0.015675106272974356
755,0.01569695657723534
756,0.015717181276218756
757,0.01573578328804118
758,0.01575276381260964
759,0.01576812575913893
760,0.015781870764611898
761,0.01579400151688535
762,0.015804519883995723
763,0.015813428100572863
764,0.01582072829394526
765,0.01582642237650454
766,0.0158305130179895
767,0.01583300211258139
768,0.01583389186073067
769,0.01583313376215834
770,0.015830049544083236
771,0.015825371891342394
772,0.015819103927210632
773,0.01581124733050612
774,0.015801804503510555
775,0.015790778318850302
776,0.01567089719751983
777,0.015527622751982441
778,0.01538480158342597
779,0.0152424332243946
780,0.015100516970171896
781,0.014959052792199105
782,0.014814352263981903
783,0.014669879139386676
784,0.014525871625008558
785,0.014382329243312652
786,0.014239250802813923
787,0.014096636476953993
788,0.013954485553447553
789,0.01381279732737248
790,0.0136715717203734
791,0.013530808025690034
792,0.013390505746643709
793,0.01325066418564735
794,0.013111283249668463
795,0.012972362239288842
796,0.012833900462404216
797,0.012695897815011202
798,0.012558334730793841
799,0.012421192998827931
800,0.012284509835059602
801,0.01214828478100153
802,0.012012517151111044
803,0.0118772068151716
804,0.011742353085824447
805,0.01160795528296452
806,0.011474013265494742
807,0.011340526351499292
808,0.011207494039939443
809,0.0110749156579354
810,0.010942791049932437
811,0.010811119541247107
812,0.010679900464399941
813,0.010493936915138368
814,0.010306863927575788
815,0.010121504356824221
816,0.009937856149761814
817,0.009755916609037523
818,0.009575683674364578
819,0.009397154655549744
820,0.009220327485155545
821,0.009045199480132354
822,0.008870847597699351
823,0.008697629020980637
824,0.008526159553433697
825,0.008356436175979955
826,0.008188455438339008
827,0.008022214462775162
828,0.00785771000693731
829,0.007694938782718605
830,0.007533897556647922
831,0.007374583436652682
832,0.007216992993957814
833,0.007061123329350634
834,0.006906971021186733
835,0.006754533037859283
836,0.006603806340654421
837,0.0064547875185882965
838,0.006307473654680625
839,0.0061618613450309745
840,0.006017947665585089
841,0.005875729219507061
842,0.005735203252697708
843,0.005596366019667735
844,0.005464776278123553
845,0.005335527201517038
846,0.00520775271499079
847,0.005081289244210307
848,0.004984391426518959
849,0.0048946062915736655
850,0.004805695420429249
851,0.004717657554603065
852,0.004630490834678505
853,0.0045441935677143505
854,0.0044587640607693805
855,0.004374200463212423
856,0.004290501398939267
857,0.004207665015859597
858,0.004125689621032191
859,0.00404457352151583
860,0.003964314873944521
861,0.00388491228767351
862,0.003806363917887845
863,0.0037286680716463044
864,0.0036518230560076675
865,0.0035758270348201955
866,0.0035006786030004457
867,0.0034263401026353208
868,0.0033499426754659708
869,0.003274459327333226
870,0.003199888649670649
871,0.003126228572668171
872,0.003053477169327578
873,0.0029816327490274947
874,0.0029106931778092684
875,0.002840657021582838
876,0.002771522223309148
877,0.0027032212056478894
878,0.0026357878112612484
879,0.0025692547772148337
