Wavelengths,R3B
618,0.000506362781341145
619,0.00038773848702868224
620,0.0003696637502045248
621,0.0004237105743142268
622,0.0005947569421136956
623,0.000432343653634389
624,0.00033915142116798194
625,0.0003224959322245047
626,0.00040849857128281097
627,0.0004886856143370943
628,0.00044383965748844565
629,0.00037572178859764647
630,0.0003196064947467486
631,0.00027511779453840427
632,0.0003965601994369814
633,0.00038522850642231683
634,0.00031992161282721674
635,0.00024718509171685386
636,0.00026812315462125216
637,0.000334568962426282
638,0.0004434379065427339
639,0.0004406434118357499
640,0.00044642453716947606
641,0.0003946082562430629
642,0.0002573604244826376
643,0.00025769112374351185
644,0.00031584122452761647
645,0.000292190210397171
646,0.00022039927267334438
647,0.0002294602129949288
648,0.0002876772450145325
649,0.000336687947566288
650,0.0003462469409864605
651,0.00040705280620016346
652,0.00025975164187247554
653,0.0003043144518280943
654,0.00032065483046940345
655,0.0003171490371098338
656,0.00035337449806359286
657,0.0004122550619131539
658,0.00039726037278497295
659,0.0003520712871224714
660,0.00037170122105602987
661,0.00038779916669811135
662,0.0003652115375346028
663,0.00021669955192249186
664,0.00016712104008484132
665,0.00018962249626709585
666,0.00013291241101851838
667,0.00015731208377184124
668,0.0003249951545680084
669,0.00047174367137472453
670,0.00036228173828301333
671,0.00019944731621168837
672,9.667592351233866e-05
673,8.467771962608198e-05
674,0.00012154894223826218
675,0.00035071778300425004
676,0.00037233510093605634
677,0.0003264215794079649
678,0.0002592915666058318
679,0.0001382886935838533
680,9.392987987249375e-05
681,0.00027121323620280186
682,0.00020550154055395725
683,0.00027424075065495766
684,0.00029798183770194796
685,0.00026876324142380173
686,0.00020787939560556668
687,0.0002547964795753994
688,0.0003420551771239496
689,0.0004505794558952624
690,0.0003463284631827072
691,0.00020115443444991449
692,0.00017092206116680898
693,0.00015220423225830124
694,0.00020850176114162706
695,0.0002431995302448859
696,0.00035779886399366334
697,0.0003781943434967515
698,0.0002969190691682084
699,0.000267699927981197
700,8.245907618790751e-05
701,0.0
702,9.355673592105651e-05
703,0.0003380205718948575
704,0.0004570283522136796
705,0.00030880341221311034
706,3.663699235893539e-05
707,0.00010552875447335766
708,0.00018991387319146257
709,0.0001700422005486149
710,0.00014647849206117128
711,0.0003547449370252735
712,0.00036170810553358147
713,0.00012543795584424674
714,3.2690347872106326e-06
715,7.506055881282046e-05
716,0.00014354839567873548
717,0.00013947687589374382
718,0.0001492764543986622
719,0.0002643427151432768
720,0.00037533370058110804
721,0.00032808016994470264
722,0.0002086026521057991
723,7.369484126425727e-06
724,0.0
725,2.838465053213994e-05
726,0.0001343522020776919
727,0.000312631601331446
728,0.00037471603883976537
729,0.0003992616829597114
730,0.00019971556250824104
731,0.00014055313770193088
732,0.00017633588844328407
733,0.00027701752895996975
734,0.0001503419377977405
735,0.00026780766380561817
736,0.0003489509983108502
737,0.00027609500194203265
738,0.00022372126694477203
739,8.64384140356672e-05
740,6.654040087533017e-06
741,0.0001314451263123892
742,0.0001447523244337742
743,0.00011296887259460435
744,0.00021820164886208584
745,0.00018925690959361465
746,0.00016746034178125803
747,0.00016465393261108578
748,9.364751535024735e-05
749,7.666637097841146e-05
750,0.00013743049362599242
751,0.00015383516624378787
752,0.00016357851809981538
753,0.00022556882238761826
754,0.00030794371575163545
755,0.0003212417307000912
756,0.00016349063553075305
757,8.742831232458986e-05
758,6.973128714249232e-05
759,5.757351195182248e-06
760,0.0
761,0.0
762,2.917452562153645e-05
763,0.00023715468908174801
764,0.00030023110666835604
765,0.000353306407715347
766,0.0003475049625613269
767,0.00017980060201082095
768,3.36851176639682e-05
769,0.0
770,0.0
771,0.0
772,6.103601784591144e-05
773,0.00021436347783984662
774,0.0002577144317377765
775,7.834799245481257e-05
776,0.0
777,3.0438237009367623e-05
778,6.533347054034115e-05
779,4.211703609007071e-06
780,1.69693301452427e-05
781,0.0
782,6.542399266614945e-05
783,0.00023831042384229035
784,0.00021165362134328795
785,4.726994238630654e-06
786,9.78886075197783e-05
787,0.00013149909520340298
788,0.00010236389402601409
789,6.052658404780782e-05
790,0.00010308929147304819
791,0.00012228627857187758
792,0.0
793,0.0
794,0.0
795,0.0
796,1.6115073692154684e-05
797,0.00013205009807069242
798,0.00011158292697299918
799,0.0
800,0.0
801,6.788547342078363e-05
802,6.630943339141789e-05
803,1.243961443121747e-05
804,0.0
805,2.5588716974486793e-05
806,0.0003277971823966938
807,0.00046915731740608643
808,0.0003445687281708486
809,0.00014144131504347873
810,0.00013455613872174948
811,6.065605562351979e-05
812,2.071551476548759e-05
813,2.4218519729481638e-05
814,0.0
815,1.0303543105524549e-05
816,0.0
817,0.0
818,1.4796276338295718e-05
819,6.940994719994635e-06
820,0.0
821,0.0
822,4.084492992996272e-05
823,1.1471136242621847e-05
824,4.285633360145214e-06
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,8.332342746004078e-05
832,0.00013893647624409105
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,4.6739006867337666e-05
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
