Wavelengths,G08
511,0.0007089627790074003
512,0.0007373812199109813
513,0.0007640026580944977
514,0.0009252543846537136
515,0.000916289121247562
516,0.001080914891811345
517,0.0011076271228887726
518,0.0010481705384975152
519,0.0008678574887978459
520,0.0010291852499681089
521,0.0010350381630087225
522,0.0009113975359469222
523,0.0007681624697294558
524,0.000784113645661857
525,0.0007193310220573605
526,0.000725573456830669
527,0.0008210679285841411
528,0.0008820895091224422
529,0.0009561362282051441
530,0.0011274556244001048
531,0.0012279061388676719
532,0.001338825934682716
533,0.0015234201116751886
534,0.001657154802026105
535,0.0015160524470941349
536,0.0012938573483432189
537,0.0013252026654480878
538,0.0012967954401430406
539,0.001122180783854994
540,0.0009272249711646294
541,0.0008002789366448615
542,0.0006956908797473739
543,0.0007829760215889569
544,0.0009006427324249533
545,0.0008988458220054675
546,0.0008182749051869393
547,0.0007927684712754782
548,0.0008896514916149707
549,0.0009331022535190325
550,0.0008976932992365305
551,0.0007948625536879868
552,0.0007893679311200983
553,0.000817710241580693
554,0.0008391333070022181
555,0.0007885117898999584
556,0.0007297111265840765
557,0.0006785178627095235
558,0.0007874958225177
559,0.0008738358936315723
560,0.0010601965797226239
561,0.0010086117846278238
562,0.0009469789126665171
563,0.000842720416290734
564,0.0008171373642244556
565,0.0007854040184025865
566,0.0007961930300963606
567,0.0010371061959314441
568,0.0010575611256305863
569,0.0009883107572877894
570,0.0010211786072863286
571,0.0013676902526681429
572,0.0015505627065275393
573,0.001331858668877113
574,0.001059127419963315
575,0.0010174494368806665
576,0.0009590929582550525
577,0.0008995461049923512
578,0.0009821239202381425
579,0.0009674755072920334
580,0.0011395743993864267
581,0.0014705279002341387
582,0.0016581375800769843
583,0.001402907057337138
584,0.00113607471671774
585,0.001095581648573223
586,0.0010485192778445609
587,0.001026857152739436
588,0.0010921049497123077
589,0.00115048679549855
590,0.0014463833829472588
591,0.002033057606737345
592,0.00198254645953494
593,0.001471142012209549
594,0.0011471317012946472
595,0.0010816452259652504
596,0.0011296619455476208
597,0.001017932114198048
598,0.0010551883619051967
599,0.0014152444802061532
600,0.002020157265474854
601,0.001981090731287831
602,0.0013973827870690833
603,0.0011980501607349655
604,0.001114209634089925
605,0.0010390471602090012
606,0.0009605587569170443
607,0.0014902875519008688
608,0.0022429039876992094
609,0.0023378354125489225
610,0.0015819065845830117
611,0.0010860076004846327
612,0.0010311109702921004
613,0.001257579417409163
614,0.0017093005428862795
615,0.001671601534755699
616,0.0011522943368889222
617,0.0009044964436364269
618,0.0007176376870547764
