Wavelengths,L2G
571,0.8362829765150201
572,0.8340729125912967
573,0.8311271609655507
574,0.8273841931998508
575,0.8229667964595863
576,0.8176915186867966
577,0.8112113892662285
578,0.8039534240132716
579,0.795054786361794
580,0.781720274699801
581,0.7593464133254257
582,0.7197773269182544
583,0.6524303051325666
584,0.555337327548696
585,0.44011321520247093
586,0.32487910986703367
587,0.227283809991005
588,0.15447211428879465
589,0.10321334498980442
590,0.0692168291571802
591,0.04707800840833698
592,0.032783781935724156
593,0.023518984555431232
594,0.01733615599346756
595,0.013044220855521572
596,0.010169256524072492
597,0.00819106512375845
598,0.00673457770362194
599,0.005566067638876309
600,0.004658790084774718
601,0.004008349855395266
602,0.0035334087961083733
603,0.00312526215564663
604,0.0027537443544428243
605,0.0024974029435289534
606,0.0023198611573671383
607,0.002173463006867842
608,0.0019874032159068666
609,0.00178607737643405
610,0.0016962313186849416
611,0.001585406915366801
612,0.0014316934455880297
613,0.0013503051887042328
614,0.0013098910276545758
615,0.0012469689975911776
616,0.0011942610393356297
617,0.0011412201560755807
618,0.0011170680723643417
619,0.0010262119508284867
620,0.0009515276009500101
621,0.000927195199236501
622,0.0008684038579018224
623,0.0008441453523890354
624,0.0008449601458092396
625,0.0008832655183026618
626,0.000868087808435222
627,0.0008085334651845551
628,0.0008041540998233422
629,0.0007832581061000736
630,0.0007496806431485355
631,0.000766979953805281
632,0.0007943379252166539
633,0.00078618374788553
634,0.0007752740347537771
635,0.0007779564639303786
636,0.0007992971448585047
637,0.000832454219137072
638,0.0008708679939801038
639,0.0008789455855480198
640,0.0009388173945627438
641,0.00099068981059911
642,0.001058796343888937
643,0.00114888290825843
644,0.0013466272542679743
645,0.0016287424915656678
646,0.0020453824179052556
647,0.002625697976451158
648,0.0033100681906281506
649,0.00391299369446331
650,0.004099292766052283
651,0.003875834964801546
652,0.0032571246389828694
653,0.002645482427883875
654,0.002148294921070774
655,0.0018099993365439822
656,0.0015946602750681643
657,0.0014287665724598336
658,0.0012837293676640285
659,0.001163744862984467
660,0.0010983674232307808
661,0.0010616535930248554
662,0.0010096401104100303
663,0.0009386888407354507
664,0.0009157466757516237
665,0.0009046092568607112
