EXMPC
WAC
Quantum Efficiency
NA
NA
nm
OnSemi Star1000 Datasheet NOIS1SM1000A/D
Wavelengths,QE
894,0.07364268696227663
895,0.07395468469320222
896,0.07426668242412782
897,0.07457868015505341
898,0.07489067788597900
899,0.07520267561690459
900,0.07551467334783019
901,0.07506913734595470
902,0.07351528844436513
903,0.07196143954277553
904,0.07040759064118594
905,0.06885374173959635
906,0.06729989283800678
907,0.06586355426297258
908,0.06445531914893615
909,0.06304708403489973
910,0.06163884892086330
911,0.06023061380682687
912,0.05882237869279044
913,0.05741414357875402
914,0.05600590846471759
915,0.05459767335068116
916,0.05318943823664474
917,0.05178120312260831
918,0.05037296800857188
919,0.04896473289453546
920,0.04818662065052950
921,0.04762875378214827
922,0.04707088691376703
923,0.04651302004538579
924,0.04595515317700455
925,0.04539728630862332
926,0.04483941944024207
927,0.04428155257186084
928,0.04372368570347959
929,0.04316581883509836
930,0.04266779933417519
931,0.04247264378372174
932,0.04227748823326829
933,0.04208233268281484
934,0.04188717713236139
935,0.04169202158190794
936,0.04149686603145449
937,0.04130171048100104
938,0.04110655493054759
939,0.04097973033306546
940,0.04093508348959729
941,0.04089043664612912
942,0.04084578980266095
943,0.04080114295919279
944,0.04075649611572462
945,0.04071184927225645
946,0.04066720242878829
947,0.04062255558532012
948,0.04057790874185195
949,0.04053326189838379
950,0.04048719107896323
951,0.04043696001607394
952,0.04038672895318465
953,0.04033649789029536
954,0.04028626682740607
955,0.04023603576451678
956,0.04018580470162748
957,0.04013557363873820
958,0.04008534257584891
959,0.04003511151295961
960,0.03984348113831897
961,0.03932348492010965
962,0.03880348870190033
963,0.03828349248369101
964,0.03776349626548169
965,0.03724350004727237
966,0.03672350382906304
967,0.03620350761085372
968,0.03568351139264440
969,0.03516351517443507
970,0.03464351895622575
971,0.03398019717102440
972,0.03326223746249461
973,0.03254427775396482
974,0.03182631804543503
975,0.03110835833690524
976,0.03039039862837545
977,0.02967243891984565
978,0.02895447921131587
979,0.02823651950278607
980,0.02765175380542685
981,0.02727357473763825
982,0.02689539566984965
983,0.02651721660206106
984,0.02613903753427246
985,0.02576085846648386
986,0.02538267939869526
987,0.02500450033090667
988,0.02462632126311807
989,0.02424814219532947
990,0.02386996312754087
991,0.02366901317904210
992,0.02350829315332690
993,0.02334757312761170
994,0.02318685310189650
995,0.02302613307618129
996,0.02286541305046609
997,0.02270469302475089
998,0.02254397299903568
999,0.02238325297332048
1000,0.02217685204280379
1001,0.02192135835567472
1002,0.02166586466854564
1003,0.02141037098141656
1004,0.02115487729428749
1005,0.02089938360715841
1006,0.02064388992002934
1007,0.02038839623290026
1008,0.02013290254577118
1009,0.01987740885864211
1010,0.01962191517151303
1011,0.01936642148438395
1012,0.01911092779725488
1013,0.01885543411012581
1014,0.01859994042299673
1015,0.01834444673586765
1016,0.01808895304873858
1017,0.01783345936160950
1018,0.01757796567448042
1019,0.01732247198735135
1020,0.01706697830022227
1021,0.01681148461309320
1022,0.01655599092596412
1023,0.01630049723883504
1024,0.01604500355170597
1025,0.01578950986457689
1026,0.01553401617744781
1027,0.01527852249031874
1028,0.01502302880318966
1029,0.01476753511606059
1030,0.01451204142893151
1031,0.01425654774180244
1032,0.01400105405467336
1033,0.01374556036754428
1034,0.01349006668041521
1035,0.01323457299328613
1036,0.01297907930615705
1037,0.01272358561902798
1038,0.01246809193189890
1039,0.01221259824476983
1040,0.01195710455764075
1041,0.01170161087051167
1042,0.01144611718338260
1043,0.01119062349625352
1044,0.01093512980912444
1045,0.01067963612199537
1046,0.01042414243486629
1047,0.01016864874773721
1048,0.009913155060608140
1049,0.009657661373479063
1050,0.009402167686349988
1051,0.009146673999220912
1052,0.008891180312091835
1053,0.008635686624962760
1054,0.008380192937833684
1055,0.008124699250704609
1056,0.007869205563575532
1057,0.007613711876446456
1058,0.007358218189317381
1059,0.007102724502188304
1060,0.006847230815059228
1061,0.006591737127930153
1062,0.006336243440801078
1063,0.006080749753672000
1064,0.005825256066542921
1065,0.005569762379413846
1066,0.005314268692284772
1067,0.005058775005155693
1068,0.004803281318026618
1069,0.004547787630897544
1070,0.004292293943768465
1071,0.004036800256639390
1072,0.003781306569510316
1073,0.003525812882381237
1074,0.003270319195252162
1075,0.003014825508123087
1076,0.002759331820994013
1077,0.002503838133864934
1078,0.002248344446735859
1079,0.001992850759606781
1080,0.001737357072477706
1081,0.001481863385348628
1082,0.001226369698219553
1083,0.0009708760110904782
1084,0.0007153823239613999
1085,0.0004598886368323250
1086,0.0002043949497032502
1087,-5.109873742582816e-05
1088,-0.0003065924245549030
1089,-0.0005620861116839779
1090,-0.0008175797988130562
1091,-0.001073073485942135
1092,-0.001328567173071209
1093,-0.001584060860200284
1094,-0.001839554547329359
1095,-0.002095048234458437
1096,-0.002350541921587512
1097,-0.002606035608716587
1098,-0.002861529295845665
1099,-0.003117022982974740
