EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
410.42,-0.02559,-0.02843,-0.02912,-0.02091,0.39486,0.75123
410.79,-0.0252,-0.02888,-0.02919,-0.01718,0.39651,0.76273
411.16,-0.02457,-0.02905,-0.02831,-0.01114,0.40275,0.76949
411.53,-0.02446,-0.02859,-0.0278,-0.00293,0.411,0.77279
411.9,-0.02444,-0.02729,-0.0262,0.00987,0.42522,0.77746
412.27,-0.02362,-0.02523,-0.02426,0.02942,0.44329,0.77924
412.64,-0.02305,-0.02512,-0.02362,0.05243,0.46497,0.78022
413.01,-0.02222,-0.02474,-0.02178,0.08272,0.49197,0.77903
413.38,-0.02203,-0.02387,-0.02117,0.11951,0.52448,0.77305
413.75,-0.02151,-0.02316,-0.02069,0.1622,0.56294,0.76409
414.12,-0.0204,-0.02168,-0.01975,0.20911,0.60536,0.747
414.49,-0.01952,-0.02168,-0.01929,0.25533,0.64971,0.72282
414.86,-0.01992,-0.02219,-0.01935,0.29863,0.69228,0.68988
415.23,-0.02002,-0.02097,-0.01878,0.33851,0.73464,0.65462
415.6,-0.01929,-0.01982,-0.01806,0.37021,0.7698,0.61542
415.96,-0.01901,-0.0193,-0.01695,0.39542,0.8002,0.57741
416.33,-0.01918,-0.01867,-0.01693,0.4123,0.8211,0.53991
416.7,-0.01933,-0.01826,-0.01576,0.42461,0.83695,0.50792
417.07,-0.01913,-0.01717,-0.0144,0.4359,0.84619,0.47978
417.44,-0.01838,-0.01655,-0.01251,0.44751,0.85441,0.45729
417.81,-0.01787,-0.01646,-0.01057,0.46426,0.86004,0.43906
418.18,-0.0174,-0.01578,-0.00695,0.48744,0.86498,0.42618
418.55,-0.01708,-0.0159,-0.00181,0.51863,0.86886,0.41722
418.92,-0.01619,-0.01515,0.00713,0.5581,0.87099,0.41041
419.29,-0.01609,-0.01559,0.01897,0.60258,0.87173,0.40666
419.66,-0.01411,-0.01448,0.03789,0.65196,0.87177,0.40402
420.03,-0.01375,-0.01361,0.06254,0.7021,0.86996,0.40266
420.39,-0.01235,-0.01242,0.0957,0.74924,0.86859,0.40198
420.76,-0.01259,-0.01293,0.13535,0.7919,0.86831,0.40225
421.13,-0.01203,-0.01154,0.1836,0.82655,0.86742,0.40261
421.5,-0.01162,-0.01031,0.23855,0.85452,0.86994,0.4039
421.87,-0.0099,-0.00713,0.29771,0.87496,0.87217,0.40415
422.24,-0.0089,-0.00434,0.35927,0.88844,0.87517,0.40435
422.61,-0.00719,0.00103,0.42394,0.89892,0.87822,0.40457
422.98,-0.00564,0.00957,0.49101,0.90306,0.87678,0.40304
423.35,-0.00232,0.02321,0.55685,0.90487,0.87496,0.40007
423.71,0.00272,0.04316,0.62233,0.90668,0.87261,0.39549
424.08,0.01038,0.07271,0.68418,0.90584,0.86656,0.39002
424.45,0.02092,0.11213,0.74118,0.90549,0.85902,0.38178
424.82,0.03754,0.16506,0.792,0.9063,0.84995,0.37369
425.19,0.06245,0.23015,0.83303,0.90634,0.83875,0.36433
425.56,0.09895,0.3089,0.86591,0.90985,0.82625,0.35573
425.93,0.14772,0.39676,0.88967,0.91369,0.81096,0.34785
426.29,0.21169,0.48994,0.90395,0.91594,0.79108,0.33926
426.66,0.28944,0.58203,0.91197,0.91884,0.76761,0.32911
427.03,0.37881,0.66936,0.91648,0.92067,0.73947,0.31837
427.4,0.47557,0.74767,0.91917,0.92062,0.70649,0.3041
427.77,0.57299,0.81134,0.92157,0.91988,0.66993,0.28546
428.14,0.665,0.8596,0.92256,0.91813,0.63259,0.26218
428.5,0.74499,0.89173,0.92344,0.91636,0.5953,0.23346
428.87,0.81059,0.91291,0.92491,0.9152,0.56038,0.20088
429.24,0.86029,0.92452,0.92629,0.91419,0.52937,0.16664
