Wavelengths,R1R
620,0.9261071469169735
621,0.9221936550586189
622,0.9184424534095704
623,0.9150074171474596
624,0.9115823905067119
625,0.9081281795510155
626,0.9047501228178777
627,0.9013800138613508
628,0.8978033868716013
629,0.8940030048452349
630,0.8902050447123638
631,0.8863462297056609
632,0.8825339337077338
633,0.8786954979206347
634,0.8748567143622401
635,0.8710175830325504
636,0.8671781039315655
637,0.8633382770592851
638,0.8593949763953891
639,0.8554683183831061
640,0.8516928611199084
641,0.8478483252125738
642,0.8439264728328748
643,0.8397704127019863
644,0.8358291361749867
645,0.8319962999350203
646,0.8283879059097989
647,0.8245155515581075
648,0.8203633105659625
649,0.8165758770825415
650,0.8127188854336828
651,0.8086969613235298
652,0.8045750968139003
653,0.8010435061894147
654,0.7974171071372331
655,0.7937784623390345
656,0.7901398175408356
657,0.7863956837319446
658,0.7827778193428366
659,0.7791963990346136
660,0.7755852383480404
661,0.7714541193485871
662,0.7669611696241811
663,0.7621048003072919
664,0.7575702878091284
665,0.7528313011706094
666,0.7480832426007256
667,0.7435721588603924
668,0.7391333320356428
669,0.7344125688371024
670,0.7294824168865353
671,0.7253414353366577
672,0.7215056903963107
673,0.717703123239293
674,0.7139893318448564
675,0.7100718110695574
676,0.7061442600646287
677,0.7022247714617657
678,0.6981084269408482
679,0.6938532951717572
680,0.6896030934116216
681,0.685020461463018
682,0.6801615967669333
683,0.6752644343515812
684,0.6704255080963702
685,0.6660230810471588
686,0.6618582151616138
687,0.6577468944799966
688,0.6545660172265858
689,0.6513420775518205
690,0.6474970775223919
691,0.6422964791956278
692,0.6338065752065899
693,0.6193650402575748
694,0.5957230128558068
695,0.5602334657234818
696,0.5111500940418853
697,0.44981846501162065
698,0.38070745484329316
699,0.31050972992502784
700,0.24570044172092367
701,0.19049506591408916
702,0.1462945946861682
703,0.11208405117493535
704,0.08565364534156528
705,0.06588957308803835
706,0.05107842807335208
707,0.03999364964603356
708,0.03165043005808659
709,0.02531810339777513
710,0.020528295016409848
711,0.01683675233557631
712,0.013997963985114069
713,0.011772252367088466
714,0.010029922971591278
715,0.008657711887772477
716,0.007449460686170304
717,0.00645927709572513
718,0.005679510684890004
719,0.0050779564131840475
720,0.004507238164785629
721,0.004111687646271623
722,0.0037962684243922646
723,0.0034964110385653628
724,0.0031805626957378506
725,0.002933781954327631
726,0.002708878834683618
727,0.0025318297105535953
728,0.002392048279290615
729,0.0022870359672971887
730,0.002140897499455342
731,0.002001451738452208
732,0.001856933525017933
733,0.0018031961460946236
734,0.001772374356185198
735,0.001715387171237324
736,0.0016876380541280109
737,0.0017223530789467827
738,0.001715404055178106
739,0.001678417359370504
740,0.001646194358517878
741,0.001631600048019887
742,0.0016808185415326453
743,0.0016810880177781816
744,0.0017532760492821886
745,0.0018504568133969387
746,0.0019003962114262632
747,0.002006849927714672
748,0.0020991467232269545
749,0.0021210098518358324
750,0.0021341780258209556
751,0.0021480578374330544
752,0.002173952929571665
753,0.002265832448081918
754,0.0022993435917884166
755,0.00224035023663975
756,0.0022381892640226434
757,0.002170611815351472
758,0.0020878617713889986
759,0.001951539721520723
760,0.0018229225830152654
761,0.0017035540089576275
762,0.001615755510554846
763,0.0015050681479907057
764,0.0013838611234782095
765,0.0013154515512272763
766,0.0013120647666680664
767,0.001255422997960246
768,0.0011981588267037273
769,0.0011786779129957102
770,0.0011081346591814898
771,0.0010311152181866287
772,0.001012365332008975
773,0.0009958065427754393
774,0.0010392005270912134
775,0.0010424326872841988
776,0.0009387480187771625
777,0.000882297268761384
778,0.0008982796915344137
779,0.0008233000235988635
780,0.000864663952053224
781,0.000921642025207262
782,0.001045557613971703
783,0.0010084962763695323
784,0.0009333779287040675
785,0.0009518606201999008
786,0.0009873630846952473
787,0.0009519715132359298
788,0.0008747788178748753
789,0.0008753826335066383
790,0.0009413585131326835
791,0.0009490216227079802
792,0.0009305039064826698
793,0.0009186214617125121
794,0.00088517943091302
795,0.0008547915689988171
796,0.0008442305759826604
797,0.000855594651137588
798,0.0008260183186432958
799,0.0008132974181475763
800,0.000778542163699758
801,0.0007115732928472501
802,0.0007220626905296198
803,0.0008072721953607005
804,0.0007792096469483176
805,0.0006627686494108074
806,0.0005745461431220191
807,0.000568986391948501
808,0.0005609397531667189
809,0.0005921512138746688
810,0.000616475590802992
811,0.0005657919757200812
812,0.0005645920090454077
813,0.0006169665652705657
814,0.0005497954680242356
815,0.00048013264228157485
816,0.000477483159326113
817,0.0004923182109663598
818,0.0004993342770717749
819,0.00047862752169528487
820,0.00047271053395088675
821,0.0004990084433591089
822,0.0004797114915129352
823,0.0005118032494801657
824,0.000520186334682678
825,0.0005081387695208588
826,0.0004797251911442719
827,0.0005243024859569491
828,0.0006258651602737143
829,0.000698642044409467
830,0.0006305672586132154
831,0.0005788555690299623
832,0.0005994535953579214
833,0.000603545468722129
834,0.000608625384386773
835,0.0005402361475174176
836,0.0005310954525080456
837,0.0005590511408237815
838,0.000541727297772202
839,0.000504504972166107
840,0.0005001782462126146
841,0.00047640716601914936
842,0.0004203572615591238
