Wavelengths,G11
651,0.0032950545513482908
652,0.0033967747421173936
653,0.0039094461912465095
654,0.0032665907243488437
655,0.002458713563976007
656,0.0019875622511713225
657,0.0020271591316490326
658,0.002128740709088157
659,0.002298283565809525
660,0.002493641068551262
661,0.0026418227777769
662,0.0022892914874013495
663,0.0018106679378535689
664,0.001950266552883888
665,0.0022623460897951268
666,0.0029063570348904044
667,0.002690316622640604
668,0.002477441016556962
669,0.0019933517981365135
670,0.0029296567467150723
671,0.0034183970615529213
672,0.003537987355315204
673,0.0030796593361894302
674,0.0027337283934806777
675,0.0032483287517910764
676,0.0027701139575453636
677,0.00218159558947166
678,0.0024858064339995005
679,0.0033444759863649996
680,0.0033229125703872295
681,0.0033166388297376803
682,0.0028071875097220233
683,0.003587557928232914
684,0.0039034081094608264
685,0.0032048675372506057
686,0.0024664761408421934
687,0.002075246084600648
688,0.0026848307034481257
689,0.0031924912053478824
690,0.00279617852163961
691,0.0022817733377036432
692,0.002231772289015562
693,0.0020145718169325287
694,0.0026279511572157885
695,0.003395705206079934
696,0.0029588504956791456
697,0.0029789433828198352
698,0.0029747065748229034
699,0.0036304805260461833
700,0.00446311241840433
701,0.0036773623440652277
702,0.003351241319699318
703,0.003378149735607988
704,0.00322864280222952
705,0.0034192816758650685
706,0.003324593710559687
707,0.002840596220773548
708,0.003406737035523298
709,0.003709365035434257
710,0.0036041137812570408
711,0.003307024173495048
712,0.0035356003269720387
713,0.004304373405998604
714,0.004554214470461271
715,0.004888250111917948
716,0.004961512647978982
717,0.004490474938465068
718,0.0039861739474054865
719,0.004200417810802469
720,0.004686514022907601
721,0.005322842424758576
722,0.004837958788422041
723,0.004313254563730898
724,0.004656166695181993
725,0.004717845074099252
726,0.005132174635087369
727,0.005616982804643352
728,0.006042210072852572
729,0.005509332066029115
730,0.004770721681211784
731,0.0048501818514275485
732,0.005506272004665399
733,0.005281442817087601
734,0.004289331412695159
735,0.004365180508072012
736,0.004426789520328073
737,0.004110221663832761
738,0.004204146656651719
739,0.004754131271781014
740,0.004799642559679556
741,0.004881100323376686
742,0.004778372169423503
743,0.005128076621019308
744,0.005255669612354882
745,0.005340351481653711
746,0.00529614920080676
747,0.004892013219733088
748,0.0043068265947760484
749,0.0036454805304042444
750,0.00399358357087934
751,0.004110906578416636
752,0.003950971552721101
753,0.0040068705015033285
754,0.004414472530443807
755,0.004562479361610303
756,0.004413978101276859
757,0.004948820076573848
758,0.005396725391649888
759,0.004958379703907422
760,0.004201097968343348
761,0.004256264901849772
762,0.004107126948366243
763,0.004201871555202265
764,0.004399382876568008
765,0.004607936468670786
766,0.004912154080284356
767,0.004463266116472555
768,0.0038677418455601176
769,0.00427091050673108
770,0.0039429966254505705
771,0.0036984585380800904
772,0.004509000238653023
773,0.0047479011447273695
774,0.004269675440545078
775,0.004125310676909292
776,0.004217873627173795
777,0.004662140821548521
778,0.0037561221387009693
779,0.004018853127166878
780,0.003801267293398924
781,0.003818735011991564
782,0.00402283177393466
783,0.004456093743217686
784,0.004322595031911227
785,0.004699132734314937
786,0.0043412589510542976
787,0.003975222449697679
788,0.0035545525747848654
789,0.00395017658507498
790,0.004175582816552622
791,0.0039106051813756265
792,0.0040611518497518425
793,0.0037082666782986664
794,0.003264047767773038
795,0.002966422391566991
796,0.003978985491715042
797,0.004844567599456073
798,0.003951364639093449
799,0.003994179223944441
800,0.004350002455501167
801,0.003711975638155605
802,0.0034503900624523187
803,0.0033306953369478887
804,0.0031592788723744302
805,0.003945877249139742
806,0.003272929938440465
807,0.0032237719682412223
808,0.0031950697368092838
809,0.002710932798095696
810,0.002892812586881055
811,0.003955383293120461
812,0.004166034383997178
813,0.0039191482892323454
814,0.003932213719596291
815,0.004141340899047117
816,0.004250006004501405
817,0.0035659542285273902
818,0.002687694347289452
819,0.00272199665748562
820,0.0028967959016462205
821,0.0032298734193068604
822,0.003014513971951818
823,0.003350791615627836
824,0.003626352569131657
825,0.0034021633042325113
826,0.0029190785147894835
827,0.0020812369690453277
828,0.0024932374946802995
829,0.00368943901032037
830,0.0032332014536778165
831,0.0016960787755951323
832,0.0014960392193693996
833,0.0018763754870257288
834,0.0023427848620956736
835,0.0028122931239098698
836,0.0032318924893196886
837,0.002566138124937857
838,0.002466631524684689
839,0.0032623786022624554
840,0.0033580402657694738
841,0.00245237202126012
842,0.001978387702837473
843,0.0020401604326422814
844,0.002726518677159324
845,0.0033110681054180032
846,0.0028811078036410235
847,0.0028060598557157978
848,0.0027145927057666357
849,0.0033405310562804203
850,0.0032180745095856745
851,0.0031039719065166327
852,0.0028493309153175077
853,0.0026703428144909044
854,0.002328351566019509
855,0.0017346377959802277
856,0.0019843893518411413
857,0.002399897159796416
858,0.002490422194732227
859,0.0020841362129010938
860,0.0024694274588849155
861,0.002116218260929663
862,0.0015986054243142223
863,0.0016956272301943914
864,0.0021977746192177374
865,0.002730533997320211
866,0.00277007774705769
867,0.0025200149734357137
868,0.0017907893707717903
869,0.0017744433294296514
870,0.001773330579163846
871,0.0021879434069440717
872,0.0015831772725281316
