Wavelengths,R2G
830,0.00030545964620369066
831,0.00024397715716954023
832,0.0002898087895232105
833,0.0003848532213517702
834,0.0003837862775273343
835,0.00018631402873399742
836,0.00032140695103849274
837,0.00037981472655567236
838,0.00029794071341891396
839,0.000346730577139906
840,0.00041645483965522124
841,0.0003389084584237626
842,0.00030636185659508756
843,0.00032105539288184576
844,0.0002906716132353964
845,0.00023287253753899844
846,0.0003438219754076664
847,0.0004443395293629042
848,0.0004154442838905185
849,0.0002613469312018979
850,0.00015604245696502594
851,0.00010384579660281719
852,0.00015949023378173082
853,0.0002505458551096367
854,0.0003531527387872688
855,0.0003797418601702347
856,0.0003620121247390642
857,0.0003250181816790542
858,0.00028582349090697587
859,0.00031535063801782536
860,0.00013238404006357362
861,0.00013936410641716043
862,0.00016298981465449322
863,3.704183366959327e-05
864,0.00011668007329022544
865,0.0002544164425299608
866,0.00026890358722820164
867,0.00027000642042177166
868,0.0001373168955621064
869,0.00019170420235386178
870,0.00013341143537279172
871,9.557991893659251e-05
872,0.00014054141311181786
873,7.921764688774712e-05
874,7.167272323751514e-05
875,0.00019759192438810873
876,0.00021932327033756193
877,0.00021770304849887283
878,3.184458441231559e-05
879,0.0
880,0.00015263036905829543
881,0.0002648837263726891
882,0.00021991505797047637
883,0.0002981454560272488
884,0.0002581342448229098
885,0.0001667986626828876
886,0.00020240458970535117
887,5.618213019289977e-05
888,2.1844544934365883e-06
889,2.406275656269351e-05
890,2.7913706662775224e-05
891,8.871771541598052e-05
892,0.00013687844776146048
893,0.0002964646478645901
894,0.000330416553962455
895,0.00018177267220108277
896,7.143806530889905e-05
897,5.424946709874924e-05
898,8.366062001768163e-05
899,2.9831399368493855e-05
900,0.0
901,0.0
902,6.722225609060059e-05
903,0.0
904,7.658709308044613e-05
905,0.0002551197424320626
906,0.00026261873873870617
907,0.00014539551175512305
908,1.6709861296467173e-05
909,0.0
910,0.0
911,3.800322255600944e-05
912,0.0
913,0.0
914,0.0
915,0.0
916,0.00015064784071137585
917,6.523261814439142e-06
918,0.0
919,0.0
920,0.0
921,2.0181844235577614e-05
922,5.4006935714966317e-05
923,5.032225307544679e-05
924,7.423214650654635e-06
925,3.4527473212368125e-05
926,0.0001252048875243006
927,6.287457301949807e-05
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,7.879052710572593e-05
935,2.2514586068060335e-05
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,4.78837622154031e-05
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
