AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
736,0.083501939,0.083501939,0.083501939
737,0.082842539,0.082842539,0.082842539
738,0.08218314,0.08218314,0.08218314
739,0.08152374,0.08152374,0.08152374
740,0.08086434,0.08086434,0.08086434
741,0.08039504,0.08039504,0.08039504
742,0.079929647,0.079929647,0.079929647
743,0.079464253,0.079464253,0.079464253
744,0.078998859,0.078998859,0.078998859
745,0.078533465,0.078533465,0.078533465
746,0.078068071,0.078068071,0.078068071
747,0.077602678,0.077602678,0.077602678
748,0.077137284,0.077137284,0.077137284
749,0.07667189,0.07667189,0.07667189
750,0.076206496,0.076206496,0.076206496
751,0.075741102,0.075741102,0.075741102
752,0.075275709,0.075275709,0.075275709
753,0.074810315,0.074810315,0.074810315
754,0.074344921,0.074344921,0.074344921
755,0.073879527,0.073879527,0.073879527
756,0.073414133,0.073414133,0.073414133
757,0.07294874,0.07294874,0.07294874
758,0.072483346,0.072483346,0.072483346
759,0.072017952,0.072017952,0.072017952
760,0.071552558,0.071552558,0.071552558
761,0.071087164,0.071087164,0.071087164
762,0.070621771,0.070621771,0.070621771
763,0.070156377,0.070156377,0.070156377
764,0.069690983,0.069690983,0.069690983
765,0.069225589,0.069225589,0.069225589
766,0.068760195,0.068760195,0.068760195
767,0.068294802,0.068294802,0.068294802
768,0.067829408,0.067829408,0.067829408
769,0.067364014,0.067364014,0.067364014
770,0.06689862,0.06689862,0.06689862
771,0.066433226,0.066433226,0.066433226
772,0.065967833,0.065967833,0.065967833
773,0.065502439,0.065502439,0.065502439
774,0.065037045,0.065037045,0.065037045
775,0.064571651,0.064571651,0.064571651
776,0.064106257,0.064106257,0.064106257
777,0.063640864,0.063640864,0.063640864
778,0.06317547,0.06317547,0.06317547
779,0.062710076,0.062710076,0.062710076
780,0.062244682,0.062244682,0.062244682
781,0.061779288,0.061779288,0.061779288
782,0.061298635,0.061298635,0.061298635
783,0.060816998,0.060816998,0.060816998
784,0.060335361,0.060335361,0.060335361
785,0.059853725,0.059853725,0.059853725
786,0.059372088,0.059372088,0.059372088
787,0.058890451,0.058890451,0.058890451
788,0.058408814,0.058408814,0.058408814
789,0.057927177,0.057927177,0.057927177
790,0.05744554,0.05744554,0.05744554
791,0.056963903,0.056963903,0.056963903
792,0.056482266,0.056482266,0.056482266
793,0.056000629,0.056000629,0.056000629
794,0.055518992,0.055518992,0.055518992
795,0.055037355,0.055037355,0.055037355
796,0.054555718,0.054555718,0.054555718
797,0.054074081,0.054074081,0.054074081
798,0.053592444,0.053592444,0.053592444
799,0.053110808,0.053110808,0.053110808
800,0.052629171,0.052629171,0.052629171
801,0.052147534,0.052147534,0.052147534
802,0.051665897,0.051665897,0.051665897
