EXMPC,,,
EXMPCHRCfull,,,
Bayer,,,
NA,,,
NA,,,
nm,,,
On Semiconductor TND6114/D Technical Note,,,
Wavelengths,Red,Green,Blue
844,0.214146083,0.213894409,0.216009592
845,0.212294664,0.212569132,0.215
846,0.210443245,0.211243855,0.213990408
847,0.208591827,0.209918578,0.212980815
848,0.206740408,0.2085933,0.211971223
849,0.204888989,0.207268023,0.210961631
850,0.20333733,0.205942746,0.209952038
851,0.202748651,0.204882694,0.208531775
852,0.202159972,0.204209832,0.20651199
853,0.201571293,0.20353697,0.204492206
854,0.200982614,0.202864109,0.202472422
855,0.200393935,0.202191247,0.200452638
856,0.199805256,0.201518385,0.198432854
857,0.199216577,0.200845524,0.19641307
858,0.198627898,0.200172662,0.194393285
859,0.198039219,0.199076668,0.192513639
860,0.197293165,0.19794823,0.19192496
861,0.196115208,0.196819791,0.191336281
862,0.19493725,0.195691353,0.190747602
863,0.193759293,0.194562914,0.190158923
864,0.192581335,0.193434476,0.189570244
865,0.191403377,0.192306038,0.188981565
866,0.19022542,0.191177599,0.188392886
867,0.189047462,0.190049161,0.187804207
868,0.187869504,0.188920722,0.187215528
869,0.186691547,0.187792284,0.186553311
870,0.185863309,0.186663845,0.185388305
871,0.185863909,0.185535407,0.184223298
872,0.185864508,0.184406969,0.183058292
873,0.185865108,0.183983363,0.181893285
874,0.185865707,0.183731415,0.180728279
875,0.185866307,0.183479466,0.179563272
876,0.185866906,0.183227518,0.178398266
877,0.185867506,0.18297557,0.17723326
878,0.185868106,0.182723621,0.176068253
879,0.185868705,0.182106987,0.174903247
880,0.185108375,0.179536189,0.173651579
881,0.182777762,0.176965391,0.172221073
882,0.18044715,0.174394593,0.170790568
883,0.178116538,0.171823796,0.169360062
884,0.175785925,0.169252998,0.167929556
885,0.173455313,0.1666822,0.166499051
886,0.1711247,0.164111402,0.165068545
887,0.168794088,0.161540604,0.16363804
888,0.166463475,0.159003136,0.162207534
889,0.164132863,0.158304372,0.160777028
890,0.161802251,0.157605608,0.159365598
891,0.16031017,0.156906844,0.157988664
892,0.159576085,0.15620808,0.156611729
893,0.158841999,0.155509316,0.155234794
894,0.158107914,0.154810552,0.153857859
895,0.157373828,0.154111787,0.152480924
896,0.156639743,0.153413023,0.15110399
897,0.155905657,0.152714259,0.149727055
898,0.155171572,0.152015495,0.14835012
899,0.154437486,0.151220224,0.147067346
900,0.153207434,0.150075939,0.1461251
901,0.15118765,0.148931655,0.145182854
902,0.149167866,0.14778737,0.144240608
903,0.147148082,0.146643086,0.143298361
904,0.145128297,0.145498801,0.142356115
905,0.143108513,0.144354516,0.141413869
906,0.141088729,0.143210232,0.140471623
907,0.139068945,0.142065947,0.139529376
908,0.137049161,0.140921663,0.13858713
909,0.135029376,0.139777378,0.137644884
910,0.133558384,0.138633094,0.136702638
911,0.13285962,0.137488809,0.135760392
912,0.132160856,0.135989209,0.134090594
913,0.131462092,0.134373501,0.132183054
914,0.130763328,0.132757794,0.130275513
915,0.130064564,0.131142086,0.128367972
916,0.1293658,0.129526379,0.126460432
917,0.128667036,0.127910671,0.124552891
918,0.127968272,0.126294964,0.12264535
919,0.127269507,0.124679257,0.121055306
920,0.126570743,0.123367921,0.120298261
921,0.125184652,0.122436036,0.119541217
922,0.123366906,0.121504151,0.118784173
923,0.121549161,0.120572265,0.118027128
924,0.119731415,0.11964038,0.117270084
925,0.117913669,0.118708495,0.11651304
926,0.116095923,0.117776609,0.115755995
927,0.114278177,0.116844724,0.114998951
928,0.112460432,0.115912839,0.114241906
929,0.110881112,0.114980954,0.113330486
930,0.109843459,0.114049068,0.112068345
931,0.108805805,0.112875829,0.110806205
932,0.107768152,0.111569121,0.109544065
933,0.106730499,0.110262414,0.108281924
934,0.105692846,0.108955706,0.107019784
935,0.104655193,0.107648998,0.105757644
936,0.103617539,0.106342291,0.104495504
937,0.102579886,0.105035583,0.103233363
938,0.101542233,0.103728876,0.101971223
939,0.10050458,0.102422168,0.100709083
940,0.099466926,0.101115461,0.099446942
941,0.098429273,0.099808753,0.098184802
942,0.09739162,0.098502045,0.096925089
943,0.096353967,0.097195338,0.095867392
944,0.095316314,0.09588863,0.094809695
945,0.09427866,0.094765354,0.093751998
946,0.093241007,0.093811884,0.092694302
947,0.092203354,0.092858413,0.091636605
948,0.091165701,0.091904943,0.090578908
949,0.090128048,0.090951472,0.089521212
950,0.089090394,0.089998002,0.088463515
951,0.088052741,0.089044531,0.087405818
952,0.087015088,0.08809106,0.086348122
953,0.085977435,0.08713759,0.085290425
954,0.084939782,0.086184119,0.084232728
955,0.083902128,0.085230649,0.083175031
956,0.082864475,0.084277178,0.082117335
957,0.081826822,0.083323708,0.081059638
958,0.080789169,0.082370237,0.080001941
959,0.079648681,0.081416767,0.078944245
960,0.078350462,0.080317746,0.077723821
961,0.077052244,0.079106115,0.076377498
962,0.075754025,0.077894484,0.075031175
963,0.074455807,0.076682854,0.073684852
964,0.073157588,0.075471223,0.072338529
965,0.07185937,0.074259592,0.070992206
966,0.070561151,0.073047962,0.069645883
967,0.069262933,0.071836331,0.06829956
968,0.067964714,0.0706247,0.066953237
969,0.066666495,0.06941307,0.065606914
970,0.065368277,0.068201439,0.064829367
971,0.064598321,0.066989808,0.064441431
972,0.063992806,0.065837761,0.064053496
973,0.06338729,0.065216704,0.06366556
974,0.062781775,0.064595647,0.063277624
975,0.062176259,0.06397459,0.062889688
976,0.061570743,0.063353533,0.062501752
977,0.060965228,0.062732476,0.062113817
978,0.060359712,0.062111419,0.061725881
979,0.059754197,0.061490362,0.061337945
980,0.059148681,0.060869305,0.060950009
981,0.058543165,0.060248248,0.059996784
982,0.05793765,0.059627191,0.058895356
983,0.057332134,0.058859412,0.057793928
984,0.056726619,0.057748801,0.056692501
985,0.056121103,0.056638189,0.055591073
986,0.055515588,0.055527578,0.054489645
987,0.054910072,0.054416966,0.053388217
988,0.054304556,0.053306355,0.052286789
989,0.053699041,0.052195743,0.051185361
990,0.053093525,0.051085132,0.050083933
991,0.05248801,0.04997452,0.048982505
992,0.050935906,0.048873011,0.047881077
993,0.0493753,0.047771583,0.046779649
994,0.047814694,0.046670155,0.045678221
995,0.046254088,0.045568727,0.044576793
996,0.044693482,0.044467299,0.043475365
997,0.043132876,0.043365871,0.042373937
998,0.041572269,0.042264443,0.041272509
999,0.040011663,0.041163015,0.040380283
1000,0.038451057,0.040061587,0.039686376
1001,0.037746853,0.039360986,0.038992469
1002,0.037191847,0.038730216,0.038298561
1003,0.036636841,0.038099445,0.037604654
1004,0.036081835,0.037468675,0.036910746
1005,0.035526829,0.036837905,0.036216839
1006,0.034971823,0.036207134,0.035522932
1007,0.034416817,0.035576364,0.034829024
1008,0.033861811,0.034945594,0.034135117
1009,0.033306805,0.034314823,0.03344121
1010,0.032751799,0.033684053,0.032747302
1011,0.032196793,0.033053282,0.032053395
1012,0.031641787,0.032422512,0.031330812
1013,0.031086781,0.031791742,0.030506317
1014,0.030531775,0.031020794,0.029681822
1015,0.029976769,0.030138748,0.028857327
1016,0.029421763,0.029256702,0.028032832
1017,0.028866757,0.028374656,0.027208337
1018,0.028311751,0.02749261,0.026383842
1019,0.027756745,0.026610565,0.025559347
1020,0.027201739,0.025728519,0.024734852
1021,0.026646733,0.024846473,0.023910357
1022,0.026091727,0.023964427,0.023085862
1023,0.025536721,0.023082381,0.022261367
1024,0.024981715,0.022200335,0.021436872
1025,0.024426709,0.021318289,0.020612377
1026,0.023871703,0.020436244,0.019787881
1027,0.023316697,0.019554198,0.018963386
1028,0.022761691,0.018672152,0.018138891
1029,0.022206685,0.017790106,0.017314396
1030,0.021651679,0.01690806,0.016489901
1031,0.021096673,0.016026014,0.015665406
1032,0.020541667,0.015143968,0.014840911
1033,0.019986661,0.014261922,0.014016416
1034,0.019001083,0.013379877,0.013191921
1035,0.017748469,0.012497831,0.012367426
1036,0.016495854,0.011615785,0.011542931
