PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
388.88,21.607,30.729,9.39,9.537,13.746,27.435,13.376,6.023
389.25,21.783,31.204,9.343,9.613,13.838,27.681,13.418,5.897
389.62,22.131,31.535,9.174,9.627,14.022,27.711,13.655,5.987
389.99,22.4,32.015,9.138,9.494,13.927,27.799,13.807,5.955
390.36,22.532,32.386,8.925,9.515,13.831,27.907,13.772,5.739
390.73,22.809,32.808,8.932,9.423,13.697,27.809,13.824,5.921
391.1,23.125,33.209,8.898,9.219,13.724,27.948,13.883,6.055
391.47,23.367,33.657,8.972,9.206,13.498,27.854,14.034,6.05
391.84,23.797,33.981,9.021,9.216,13.424,27.639,14.197,6.088
392.21,24.273,34.445,9.184,9.269,13.352,27.625,14.275,6.012
392.58,24.585,34.995,9.323,9.253,13.367,27.43,14.407,6.025
392.95,24.829,35.574,9.365,9.082,13.607,27.3,14.653,6.109
393.32,25.078,36.172,9.456,9.061,13.769,27.313,14.584,5.878
393.69,25.197,36.831,9.41,9.22,13.814,27.067,14.697,5.749
394.06,25.101,37.453,9.352,9.185,14.008,26.988,14.699,5.892
394.43,24.91,37.92,9.297,8.987,14.068,26.887,14.646,5.941
394.8,24.652,38.543,9.09,9.02,14.098,27.005,14.677,5.98
395.17,24.274,39.16,9.038,9.192,14.275,27.067,14.677,5.98
395.54,23.878,39.676,9.155,9.256,14.299,26.957,14.803,5.994
395.91,23.17,40.155,9.058,9.227,14.378,26.8,14.987,6.097
396.28,22.44,40.599,9.006,9.058,14.482,26.819,14.967,6.173
396.65,21.876,41.197,8.921,9.173,14.468,26.67,15.099,6.127
397.02,21.131,41.859,8.889,9.23,14.432,26.641,15.244,6.178
397.39,20.231,42.328,8.948,9.138,14.462,26.454,15.244,6.232
397.76,19.465,42.796,9.008,8.947,14.532,26.404,15.272,6.313
398.13,18.626,43.504,8.884,8.978,14.488,26.314,15.219,6.28
398.5,17.696,44.121,8.889,8.967,14.423,26.292,15.217,6.252
398.86,16.905,44.806,8.823,8.986,14.327,26.098,15.37,6.261
399.23,16.118,45.389,8.829,8.93,14.4,26.146,15.352,6.195
399.6,15.541,46.128,8.922,8.903,14.43,26.007,15.281,6.173
399.97,14.963,46.848,8.817,8.85,14.49,25.859,15.292,6.123
400.34,14.31,47.652,8.713,8.843,14.44,25.605,15.285,6.01
400.71,13.91,48.336,8.685,8.775,14.446,25.449,15.301,5.977
401.08,13.656,49.046,8.678,8.752,14.41,25.303,15.407,6.031
