MacBeth_ColorChecker,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
358.68,10.039,28.309,20.71,3.722,24.192,20.692,20.04,16.167,13.354,10.886,10.866,15.934,-1.092,0.196,1.921,19.047,10.503,0.53,35.367,18.821,15.462,9.57,8.075,2.367
359.06,10.085,28.24,20.591,3.271,23.356,19.569,19.743,15.809,13.324,11.891,12.3,16.097,0.66,2.018,4.034,20.238,11.931,1.613,36.025,20.064,16.846,10.245,8.48,2.798
359.43,9.876,27.564,20.445,3.033,23.112,19.125,19.464,15.623,12.839,11.114,13.06,17.257,0.876,3.242,6.161,21.31,11.57,1.794,34.604,21.02,17.141,10.375,9.196,2.737
359.81,9.924,27.871,20.979,3.643,22.039,19.404,19.489,15.619,12.662,11.121,13.278,16.212,1.179,1.91,5.344,21.939,11.284,2.078,34.008,20.511,16.977,9.288,8.224,1.767
360.18,10.755,27.06,20.605,5.115,21.473,18.979,19.328,14.197,12.697,10.685,13.236,16.014,1.01,2.496,4.716,21.215,12.369,2.007,34.318,19.387,17.453,9.439,8.837,2.444
360.56,10.261,27.028,20.888,4.723,20.442,17.694,18.658,14.96,12.049,10.749,13.21,15.537,1.496,3.154,4.216,20.819,11.627,1.952,33.409,17.475,18.144,10.138,8.437,2.048
360.93,9.498,26.459,21.315,4.501,19.49,19.018,17.583,14.842,11.974,10.509,13.594,14.938,3.249,2.227,4.71,20.296,12.162,1.68,32.41,16.827,18.617,10.723,8.79,2.13
361.3,10.653,27.456,20.876,5.079,19.243,19.804,18.655,14.517,12.387,11.071,15.18,15.352,4.832,2.796,3.36,21.378,11.989,2.483,33.701,16.535,20.484,11.664,9.137,2.718
361.68,10.305,27.223,21.455,5.301,19.114,19.074,18.321,14.599,12.161,10.555,15.035,14.616,5.121,2.532,2.555,21,11.84,3.078,35.24,16.147,20.178,11.07,8.259,3.029
362.05,9.166,25.795,21.289,5.534,18.555,19.142,17.015,13.136,10.299,9.333,14.724,12.787,3.291,0.691,1.71,19.824,10.832,1.608,34.87,14.416,20.908,12.397,7.943,2.109
362.43,8.255,24.625,20.745,6.383,18.978,19.178,17.175,12.667,10.047,8.529,14.585,13.138,2.455,1.358,1.585,19.594,11.023,2.833,34.676,14.643,21.935,13.655,7.685,1.322
